gene_symb,omim_id,pubmed_id
HOXA11,142958,18274672
HOXA11,142958,21617075
HOXA11,142958,7596412
HOXA11,142958,27706137
HOXA11,142958,21617076
HOXA11,142958,11101832
HOXA13,142959,2574852
HOXA13,142959,21617075
HOXA13,142959,12414828
HOXA13,142959,1442892
HOXA13,142959,10839976
HOXA13,142959,8484413
HOXA13,142959,11968094
HOXA13,142959,15385446
HOXA13,142959,27706137
HOXA13,142959,9020844
HOXA13,142959,8673126
HOXA13,142959,18245445
HOXA13,142959,21617076
HOXA13,142959,30649340
HOXA13,142959,23239739
HOXA13,142959,5450271
HOXA13,142959,12073020
HOXA13,142959,17935235
HOXA13,142959,2774004
HOXB1,142968,8646877
HOXB1,142968,8898234
HOXB1,142968,16760928
HOXB1,142968,8967950
HOXB1,142968,26007620
HOXB1,142968,27144914
HOXB1,142968,22770981
HOXB5,142960,2574852
HOXB5,142960,4561854
HOXB5,142960,3000607
HOXB5,142960,4075393
HOXB5,142960,3919316
HOXB5,142960,6091895
HOXB5,142960,3907850
HOXB5,142960,2889183
HOXB5,142960,2875852
HOXB5,142960,2878432
HOXB5,142960,4038785
HOXB5,142960,2899893
HOXB5,142960,11847340
HOXB5,142960,3186746
HOXB6,142961,8646877
HOXB6,142961,1358998
HOXB13,604607,22236224
HOXB13,604607,24390282
HOXB13,604607,15964834
HOXB13,604607,17942676
HOXB13,604607,19917249
HOXB13,604607,9665387
HOXB13,604607,8756292
HOXC11,605559,9582375
HOXC11,605559,1358459
HOXC13,142976,23315978
HOXC13,142976,9420327
HOXC13,142976,23063621
HOXC13,142976,12461755
HOXD4,142981,2879245
HOXD4,142981,2568311
HOXD4,142981,15776434
HOXD4,142981,10548099
HOXD10,142984,16450407
HOXD10,142984,9323126
HOXD10,142984,18922890
HOXD10,142984,15146389
HOXD10,142984,15995706
HOXD10,142984,1363084
HOXD10,142984,17066034
HOXD10,142984,10548099
HOXD11,142986,2574852
HOXD11,142986,9323126
HOXD11,142986,12432383
HOXD11,142986,23239739
HOXD11,142986,15995706
HOXD11,142986,11782354
HOXD11,142986,17066034
HOXD11,142986,20085705
HOXD11,142986,15192229
HOXD13,142989,8817328
HOXD13,142989,15917204
HOXD13,142989,15333588
HOXD13,142989,22373878
HOXD13,142989,24038517
HOXD13,142989,14698619
HOXD13,142989,11543619
HOXD13,142989,12620993
HOXD13,142989,1675198
HOXD13,142989,24789103
HOXD13,142989,8620844
HOXD13,142989,12414828
HOXD13,142989,1354436
HOXD13,142989,19060004
HOXD13,142989,19006232
HOXD13,142989,9758628
HOXD13,142989,9207113
HOXD13,142989,23995701
HOXD13,142989,12649808
HOXD13,142989,9580668
HOXD13,142989,9323126
HOXD13,142989,12900906
HOXD13,142989,27706137
HOXD13,142989,16222680
HOXD13,142989,12432383
HOXD13,142989,21814222
HOXD13,142989,24161848
HOXD13,142989,19075394
HOXD13,142989,22118467
HOXD13,142989,8614804
HOXD13,142989,18399101
HOXD13,142989,8933344
HOXD13,142989,16314414
HOXD13,142989,7666393
HOXD13,142989,23239739
HOXD13,142989,24055421
HOXD13,142989,17066034
HOXD13,142989,22374128
HOXD13,142989,9005557
HOXD13,142989,10548099
HOXD13,142989,15192229
HOXD13,142989,17236141
HOXD13,142989,23948678
HP,140100,22922649
HP,140100,10468605
HP,140100,12750308
HP,140100,4018023
HP,140100,6026932
HP,140100,4172407
HP,140100,5611035
HP,140100,7099207
HP,140100,6413248
HP,140100,5365574
HP,140100,5868430
HP,140100,13651145
HP,140100,5383979
HP,140100,7036344
HP,140100,8001969
HP,140100,752532
HP,140100,3780312
HP,140100,6018104
HP,140100,649170
HP,140100,14278478
HP,140100,5927287
HP,140100,13622742
HP,140100,24005574
HP,140100,14399953
HP,140100,7451486
HP,140100,5676524
HP,140100,4291922
HP,140100,9463309
HP,140100,10666182
HP,140100,6997877
HP,140100,31076532
HP,140100,7327550
HP,140100,12475459
HP,140100,2880559
HP,140100,6325933
HP,140100,2063867
HP,140100,5452897
HP,140100,8225317
HP,140100,6547898
HP,140100,10644822
HP,140100,2722188
HP,140100,2987106
HP,140100,2993157
HP,140100,6244770
HP,140100,5810694
HP,140100,3455911
HP,140100,13989613
HP,140100,13914473
HP,140100,13321879
HP,140100,13276348
HP,140100,13638269
HP,140100,4911918
HP,140100,14999562
HP,140100,14616769
HP,140100,6546723
HP,140100,4955080
HP,140100,15385675
HP,140100,6310599
HPCA,142622,25799108
HPCA,142622,14694054
HPCA,142622,1280427
HPCA,142622,9931466
HPCA,142622,16102532
HPCA,142622,8166736
HPCA,142622,17296551
HPCA,142622,6115727
HPD,609695,7851880
HPD,609695,1519651
HPD,609695,9343288
HPD,609695,1130176
HPD,609695,30984715
HPD,609695,13416295
HPD,609695,17560158
HPD,609695,858207
HPD,609695,10942115
HPD,609695,8504803
HPD,609695,9325050
HPD,609695,8521727
HPD,609695,11073718
HPD,609695,7278885
HPGD,601688,11821873
HPGD,601688,17551338
HPGD,601688,1697582
HPGD,601688,24533558
HPGD,601688,2337593
HPGD,601688,17285282
HPGD,601688,9048936
HPGD,601688,32282352
HPGD,601688,11238526
HPGD,601688,9402870
HPGD,601688,18805827
HPGD,601688,18500342
HPGD,601688,19306095
HPRT1,308000,8664901
HPRT1,308000,4763410
HPRT1,308000,4353774
HPRT1,308000,8318989
HPRT1,308000,6952245
HPRT1,308000,3358423
HPRT1,308000,369702
HPRT1,308000,19342420
HPRT1,308000,6397773
HPRT1,308000,11818556
HPRT1,308000,5274481
HPRT1,308000,4352580
HPRT1,308000,3198771
HPRT1,308000,3384338
HPRT1,308000,2909537
HPRT1,308000,2738157
HPRT1,308000,2018042
HPRT1,308000,10767182
HPRT1,308000,4890364
HPRT1,308000,6885075
HPRT1,308000,2881273
